instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
BTC-29SEP23-28000-P,2023-1-30,2023-9-29,28000.0,put,26342.82,0.086,0.153,0.1195,1.4,964.8,38.6
BTC-29SEP23-29000-C,2023-2-16,2023-9-29,29000.0,call,26342.82,0.051,0.0525,0.05175,19.0,462.1,39.24
BTC-29SEP23-29000-P,2023-2-16,2023-9-29,29000.0,put,26342.82,0.135,0.154,0.14450000000000002,0.0,67.0,38.61
BTC-29SEP23-30000-C,2022-9-29,2023-9-29,30000.0,call,26342.82,0.0415,0.043,0.042249999999999996,7.5,2350.8,39.675
BTC-29SEP23-30000-P,2022-9-29,2023-9-29,30000.0,put,26342.82,0.001,0.0,0.0005,0.0,148.8,0.0
BTC-29SEP23-31000-C,2023-3-18,2023-9-29,31000.0,call,26342.82,0.0345,0.0355,0.035,5.4,3346.3,40.41
BTC-29SEP23-31000-P,2023-3-18,2023-9-29,31000.0,put,26342.82,0.0,0.0,0.0,0.0,138.3,0.0
BTC-29SEP23-32000-C,2023-3-18,2023-9-29,32000.0,call,26342.82,0.029,0.03,0.0295,22.3,1862.2,41.375
BTC-29SEP23-32000-P,2023-3-18,2023-9-29,32000.0,put,26342.82,0.0,0.0,0.0,0.0,56.6,0.0
BTC-29SEP23-33000-C,2023-3-22,2023-9-29,33000.0,call,26342.82,0.0245,0.0255,0.025,71.8,933.1,42.33
BTC-29SEP23-33000-P,2023-3-22,2023-9-29,33000.0,put,26342.82,0.0,0.0,0.0,0.0,164.0,0.0
BTC-29SEP23-34000-C,2023-3-29,2023-9-29,34000.0,call,26342.82,0.0205,0.022,0.021249999999999998,0.0,1325.3,43.215
BTC-29SEP23-34000-P,2023-3-29,2023-9-29,34000.0,put,26342.82,0.0,0.0,0.0,0.0,1.5,0.0
BTC-29SEP23-35000-C,2022-9-29,2023-9-29,35000.0,call,26342.82,0.018,0.019,0.0185,94.1,1759.8,44.345
BTC-29SEP23-35000-P,2022-9-29,2023-9-29,35000.0,put,26342.82,0.0005,0.0,0.00025,0.0,0.4,0.0
BTC-29SEP23-36000-C,2023-3-29,2023-9-29,36000.0,call,26342.82,0.0155,0.017,0.01625,19.1,207.4,45.474999999999994
